# ColVar Mean_PMF Std_PMF
1.3150e+02 1.3236e+01 1.0722e+00
1.3250e+02 1.1553e+01 7.1975e-01
1.3350e+02 1.1653e+01 1.7103e+00
1.3450e+02 1.1769e+01 1.4542e+00
1.3550e+02 1.2158e+01 5.9405e-01
1.3650e+02 1.1639e+01 1.0378e+00
1.3750e+02 1.0866e+01 5.4770e-01
1.3850e+02 1.1621e+01 1.0280e+00
1.3950e+02 1.1661e+01 1.9890e+00
1.4050e+02 1.1407e+01 8.1049e-01
1.4150e+02 1.2258e+01 4.3923e-01
1.4250e+02 1.2571e+01 1.0859e+00
1.4350e+02 1.1562e+01 1.3212e+00
1.4450e+02 1.1661e+01 1.4587e+00
1.4550e+02 1.2120e+01 1.3616e+00
1.4650e+02 1.1500e+01 1.5754e+00
1.4750e+02 1.1332e+01 1.5022e+00
1.4850e+02 1.1749e+01 9.0397e-01
1.4950e+02 1.2242e+01 1.0303e+00
1.5050e+02 1.2777e+01 1.0354e+00
1.5150e+02 1.3317e+01 6.3940e-01
1.5250e+02 1.2004e+01 1.7600e+00
1.5350e+02 1.2574e+01 3.6758e+00
1.5450e+02 1.4417e+01 4.4813e+00
1.5550e+02 1.5327e+01 4.7831e+00
1.5650e+02 1.6960e+01 4.1475e+00
1.5750e+02 1.8899e+01 4.0898e+00
1.5850e+02 2.0178e+01 1.7598e+00
1.5950e+02 2.0947e+01 4.5672e-01
1.6050e+02 2.0981e+01 4.3590e-01
1.6150e+02 2.0981e+01 4.3588e-01
1.6250e+02 2.0981e+01 4.3588e-01
1.6350e+02 2.0981e+01 4.3588e-01
1.6450e+02 2.0981e+01 4.3588e-01
1.6550e+02 2.0981e+01 4.3588e-01
1.6650e+02 2.0981e+01 4.3588e-01
1.6750e+02 2.0981e+01 4.3588e-01
1.6850e+02 2.0981e+01 4.3588e-01
1.6950e+02 2.0981e+01 4.3588e-01
1.7050e+02 2.0981e+01 4.3588e-01
1.7150e+02 2.0981e+01 4.3588e-01
1.7250e+02 2.0981e+01 4.3588e-01
1.7350e+02 2.0981e+01 4.3588e-01
1.7450e+02 2.0981e+01 4.3588e-01
1.7550e+02 2.0981e+01 4.3588e-01
1.7650e+02 2.0981e+01 4.3588e-01
