# timeSteps mean_CV Std_CV
4.4200e+07 1.4615e+00 6.7766e-02
4.4300e+07 1.4619e+00 6.5038e-02
4.4400e+07 1.4630e+00 6.5030e-02
4.4500e+07 1.4602e+00 6.7370e-02
4.4600e+07 1.4578e+00 6.5718e-02
4.4700e+07 1.4569e+00 6.4222e-02
4.4800e+07 1.4580e+00 6.5456e-02
4.4900e+07 1.4596e+00 6.4829e-02
4.5000e+07 1.4579e+00 6.7012e-02
4.5100e+07 1.4552e+00 6.5254e-02
4.5200e+07 1.4563e+00 6.4442e-02
4.5300e+07 1.4577e+00 6.4451e-02
4.5400e+07 1.4565e+00 6.5667e-02
4.5500e+07 1.4566e+00 6.4840e-02
4.5600e+07 1.4551e+00 6.4394e-02
4.5700e+07 1.4583e+00 6.5721e-02
4.5800e+07 1.4548e+00 6.6059e-02
4.5900e+07 1.4552e+00 6.5076e-02
4.6000e+07 1.4562e+00 6.5301e-02
4.6100e+07 1.4577e+00 6.4391e-02
4.6200e+07 1.4570e+00 6.5124e-02
4.6300e+07 1.4555e+00 6.5008e-02
4.6400e+07 1.4539e+00 6.6676e-02
4.6500e+07 1.4559e+00 6.6965e-02
4.6600e+07 1.4567e+00 6.7374e-02
4.6700e+07 1.4575e+00 6.6824e-02
4.6800e+07 1.4573e+00 6.6667e-02
4.6900e+07 1.4564e+00 6.6840e-02
4.7000e+07 1.4577e+00 6.6168e-02
4.7100e+07 1.4566e+00 6.5848e-02
4.7200e+07 1.4559e+00 6.5172e-02
4.7300e+07 1.4547e+00 6.5241e-02
4.7400e+07 1.4532e+00 6.4859e-02
4.7500e+07 1.4521e+00 6.5094e-02
4.7600e+07 1.4534e+00 6.3242e-02
4.7700e+07 1.4571e+00 6.5010e-02
4.7800e+07 1.4559e+00 6.6882e-02
4.7900e+07 1.4550e+00 6.5997e-02
4.8000e+07 1.4553e+00 6.5520e-02
4.8100e+07 1.4533e+00 6.5102e-02
4.8200e+07 1.4522e+00 6.5926e-02
4.8300e+07 1.4515e+00 6.4637e-02
4.8400e+07 1.4509e+00 6.2433e-02
4.8500e+07 1.4509e+00 6.1469e-02
4.8600e+07 1.4504e+00 6.3880e-02
4.8700e+07 1.4514e+00 6.4772e-02
4.8800e+07 1.4518e+00 6.3924e-02
4.8900e+07 1.4512e+00 6.3185e-02
4.9000e+07 1.4509e+00 6.3212e-02
4.9100e+07 1.4507e+00 6.2542e-02
4.9200e+07 1.4521e+00 6.0763e-02
4.9300e+07 1.4526e+00 6.1003e-02
4.9400e+07 1.4547e+00 6.4004e-02
4.9500e+07 1.4543e+00 6.5747e-02
4.9600e+07 1.4519e+00 6.4206e-02
4.9700e+07 1.4530e+00 6.2987e-02
4.9800e+07 1.4495e+00 6.3247e-02
4.9900e+07 1.4509e+00 6.4151e-02
5.0000e+07 1.4496e+00 6.3718e-02
5.0100e+07 1.4511e+00 6.3812e-02
5.0200e+07 1.4515e+00 6.5076e-02
5.0300e+07 1.4532e+00 6.4502e-02
5.0400e+07 1.4524e+00 6.3634e-02
5.0500e+07 1.4536e+00 6.4059e-02
5.0600e+07 1.4553e+00 6.3873e-02
5.0700e+07 1.4539e+00 6.2544e-02
5.0800e+07 1.4546e+00 6.2575e-02
5.0900e+07 1.4544e+00 6.1554e-02
5.1000e+07 1.4542e+00 6.2454e-02
5.1100e+07 1.4545e+00 6.2516e-02
5.1200e+07 1.4528e+00 6.2293e-02
5.1300e+07 1.4519e+00 6.2354e-02
5.1400e+07 1.4501e+00 6.2316e-02
5.1500e+07 1.4506e+00 6.0138e-02
5.1600e+07 1.4498e+00 6.4608e-02
5.1700e+07 1.4498e+00 6.2825e-02
5.1800e+07 1.4525e+00 6.4338e-02
5.1900e+07 1.4540e+00 6.4695e-02
5.2000e+07 1.4538e+00 6.2638e-02
5.2100e+07 1.4547e+00 6.1848e-02
5.2200e+07 1.4547e+00 6.0622e-02
5.2300e+07 1.4564e+00 6.1368e-02
5.2400e+07 1.4558e+00 6.3587e-02
5.2500e+07 1.4563e+00 6.1445e-02
5.2600e+07 1.4551e+00 6.1736e-02
5.2700e+07 1.4561e+00 6.3775e-02
5.2800e+07 1.4564e+00 5.9512e-02
5.2900e+07 1.4555e+00 6.0629e-02
5.3000e+07 1.4562e+00 5.6812e-02
5.3100e+07 1.4558e+00 5.8804e-02
5.3200e+07 1.4544e+00 6.1617e-02
5.3300e+07 1.4559e+00 6.1651e-02
5.3400e+07 1.4525e+00 6.0102e-02
5.3500e+07 1.4529e+00 6.2495e-02
5.3600e+07 1.4519e+00 6.0025e-02
5.3700e+07 1.4497e+00 6.0230e-02
5.3800e+07 1.4504e+00 6.0391e-02
5.3900e+07 1.4472e+00 6.2279e-02
5.4000e+07 1.4447e+00 6.2697e-02
5.4100e+07 1.4438e+00 6.1267e-02
5.4200e+07 1.4433e+00 6.2658e-02
5.4300e+07 1.4409e+00 6.2556e-02
5.4400e+07 1.4424e+00 6.0923e-02
5.4500e+07 1.4436e+00 6.1695e-02
5.4600e+07 1.4422e+00 5.9949e-02
5.4700e+07 1.4413e+00 5.8514e-02
5.4800e+07 1.4416e+00 5.8253e-02
5.4900e+07 1.4422e+00 5.6833e-02
5.5000e+07 1.4424e+00 5.9343e-02
5.5100e+07 1.4416e+00 5.9540e-02
5.5200e+07 1.4430e+00 5.8660e-02
5.5300e+07 1.4429e+00 6.0330e-02
5.5400e+07 1.4424e+00 6.1503e-02
5.5500e+07 1.4429e+00 6.1105e-02
5.5600e+07 1.4396e+00 6.1806e-02
5.5700e+07 1.4407e+00 6.1973e-02
5.5800e+07 1.4393e+00 6.1900e-02
5.5900e+07 1.4388e+00 6.2115e-02
5.6000e+07 1.4422e+00 6.3184e-02
5.6100e+07 1.4393e+00 6.2849e-02
5.6200e+07 1.4400e+00 6.3718e-02
5.6300e+07 1.4389e+00 6.3415e-02
5.6400e+07 1.4380e+00 6.3029e-02
5.6500e+07 1.4387e+00 5.9746e-02
5.6600e+07 1.4395e+00 6.1966e-02
5.6700e+07 1.4404e+00 6.3307e-02
5.6800e+07 1.4401e+00 6.2534e-02
5.6900e+07 1.4417e+00 6.4196e-02
5.7000e+07 1.4401e+00 6.3793e-02
5.7100e+07 1.4395e+00 6.4513e-02
5.7200e+07 1.4394e+00 6.3085e-02
5.7300e+07 1.4389e+00 6.2172e-02
5.7400e+07 1.4383e+00 6.2055e-02
5.7500e+07 1.4387e+00 6.1780e-02
5.7600e+07 1.4364e+00 6.2196e-02
5.7700e+07 1.4356e+00 6.2252e-02
5.7800e+07 1.4351e+00 6.1666e-02
5.7900e+07 1.4382e+00 6.1507e-02
