# Dist_from_COM	Sticker_Saturation
8.6819e+01 1.0000e+00
1.0287e+02 8.0000e-01
1.2928e+02 8.0000e-01
1.2588e+02 1.0000e+00
1.2665e+02 1.0000e+00
1.2837e+02 1.0000e+00
1.3447e+02 8.0000e-01
1.3762e+02 1.0000e+00
9.8269e+01 1.0000e+00
1.2177e+02 1.0000e+00
1.5349e+02 8.0000e-01
1.3631e+02 1.0000e+00
1.4156e+02 1.0000e+00
1.3701e+02 1.0000e+00
1.2599e+02 1.0000e+00
1.3401e+02 1.0000e+00
1.1052e+02 1.0000e+00
1.0495e+02 1.0000e+00
1.0113e+02 1.0000e+00
1.0663e+02 1.0000e+00
7.1486e+01 8.0000e-01
8.0547e+01 1.0000e+00
6.6471e+01 1.0000e+00
1.0458e+02 1.0000e+00
1.0281e+02 1.0000e+00
1.0477e+02 1.0000e+00
1.0609e+02 1.0000e+00
8.7249e+01 1.0000e+00
1.1891e+02 1.0000e+00
1.1265e+02 1.0000e+00
1.0942e+02 1.0000e+00
1.1160e+02 1.0000e+00
1.2677e+02 1.0000e+00
9.0803e+01 1.0000e+00
9.6483e+01 1.0000e+00
1.1283e+02 1.0000e+00
1.0509e+02 1.0000e+00
1.1146e+02 1.0000e+00
1.2924e+02 1.0000e+00
1.1254e+02 8.0000e-01
1.1494e+02 8.0000e-01
1.2420e+02 1.0000e+00
1.3959e+02 1.0000e+00
8.9350e+01 1.0000e+00
1.2218e+02 1.0000e+00
1.1717e+02 1.0000e+00
1.1350e+02 1.0000e+00
1.2864e+02 1.0000e+00
